"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI.x","SI_LONG.x","YEAR","DATE","SI_LONG_360","REGION_NEW","SI_LATI.y","SI_LONG.y","z","dist_km"
"100",100,"CARIB","PRICO","PRICO",18.3147826,-65.351824,2014,"8/20/2014",294.648176,"PRICO",18.3082599639893,-65.3466186523438,1.18,0.910956589938878
"101",101,"CARIB","PRICO","PRICO",18.3146984,-65.323956,2014,"8/20/2014",294.676044,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.49998853245931
"102",102,"CARIB","PRICO","PRICO",18.3170557,-65.352721,2014,"8/20/2014",294.647279,"PRICO",18.3082599639893,-65.3466186523438,1.18,1.17243951229095
"103",103,"CARIB","PRICO","PRICO",18.3179396,-65.351758,2014,"8/20/2014",294.648242,"PRICO",18.3082599639893,-65.3466186523438,1.18,1.20667742849795
"104",104,"CARIB","PRICO","PRICO",18.3216905,-65.335618,2014,"8/20/2014",294.664382,"PRICO",18.3082599639893,-65.3466186523438,1.18,1.89388391908373
"105",105,"CARIB","PRICO","PRICO",18.3229617,-65.33134,2014,"8/18/2014",294.66866,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.29902496447123
"106",106,"CARIB","PRICO","PRICO",18.3226221,-65.244429,2014,"8/19/2014",294.755571,"PRICO",18.3082599639893,-65.2216339111328,1.18,2.891252202888
"107",107,"CARIB","PRICO","PRICO",18.3274534,-65.3303,2014,"8/18/2014",294.6697,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.74574030802831
"108",108,"CARIB","PRICO","PRICO",18.3502712,-65.320368,2014,"8/18/2014",294.679632,"PRICO",18.3499164581299,-65.3049545288086,1.2,1.62905004568032
"109",109,"CARIB","PRICO","PRICO",18.3536949,-65.357622,2014,"8/20/2014",294.642378,"PRICO",18.3499164581299,-65.3466186523438,1.19,1.23633878172481
"110",110,"CARIB","PRICO","PRICO",18.3569603,-65.363223,2014,"8/19/2014",294.636777,"PRICO",18.3499164581299,-65.3466186523438,1.19,1.92162244673065
"111",111,"CARIB","PRICO","PRICO",18.1534642,-67.321327,2014,"6/16/2014",292.678673,"PRICO",18.1416320800781,-67.3047256469727,1.16,2.19518932276394
"112",112,"CARIB","PRICO","PRICO",18.5190915,-67.099023,2014,"9/7/2014",292.900977,"PRICO",18.516544342041,-67.0964202880859,1.15,0.394812777020854
"113",113,"CARIB","PRICO","PRICO",18.517512,-67.121768,2014,"9/7/2014",292.878232,"PRICO",18.516544342041,-67.1380767822266,1.13,1.72486326993843
"114",114,"CARIB","PRICO","PRICO",18.5099603,-67.134635,2014,"9/7/2014",292.865365,"PRICO",18.516544342041,-67.1380767822266,1.13,0.818036614408998
"115",115,"CARIB","PRICO","PRICO",18.5078322,-67.147916,2014,"9/7/2014",292.852084,"PRICO",18.516544342041,-67.1380767822266,1.13,1.42102353381701
"116",116,"CARIB","PRICO","PRICO",18.4941144,-66.609352,2014,"9/8/2014",293.390648,"PRICO",18.516544342041,-66.5964736938477,1.2,2.84299944384361
"117",117,"CARIB","PRICO","PRICO",18.4998084,-67.158892,2014,"9/7/2014",292.841108,"PRICO",18.516544342041,-67.1380767822266,1.13,2.88079894063187
"118",118,"CARIB","PRICO","PRICO",18.488382,-66.927517,2014,"9/7/2014",293.072483,"PRICO",18.516544342041,-66.9297714233398,1.15,3.14403784915045
"119",119,"CARIB","PRICO","PRICO",18.4844876,-66.902002,2014,"9/7/2014",293.097998,"PRICO",18.516544342041,-66.8881072998047,1.16,3.85824163884256
"120",120,"CARIB","PRICO","PRICO",18.3919922,-67.482291,2014,"7/27/2014",292.517709,"PRICO",18.3915748596191,-67.4713745117188,1.14,1.15408160175515
"121",121,"CARIB","PRICO","PRICO",18.3879878,-67.228219,2014,"9/6/2014",292.771781,"PRICO",18.3915748596191,-67.2214050292969,1.11,0.823133017749973
"122",122,"CARIB","PRICO","PRICO",18.389756,-67.48515,2014,"7/27/2014",292.51485,"PRICO",18.3915748596191,-67.4713745117188,1.14,1.46918040738917
"123",123,"CARIB","PRICO","PRICO",18.3882986,-67.472386,2014,"7/27/2014",292.527614,"PRICO",18.3915748596191,-67.4713745117188,1.14,0.38004083743012
"124",124,"CARIB","PRICO","PRICO",18.3869509,-67.473344,2014,"7/27/2014",292.526656,"PRICO",18.3915748596191,-67.4713745117188,1.14,0.555191404996325
"125",125,"CARIB","PRICO","PRICO",18.3839621,-67.232518,2014,"9/6/2014",292.767482,"PRICO",18.3915748596191,-67.2214050292969,1.11,1.44785266039801
