"","X","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z","y_pred_prob"
"11",11,"CARIB","FLORIDA","Keys_lower","-81.562_24.521",24.52083333,-81.5625,26.6,2.52,10.6567379644913,0.325100654,0.08766996,0.028501561,5.53222001041121,0.00270602317177691,0.195832314,927.8552082,181.7040326,0.099661495,26.60019,2.651014711,0.393021736,1.22060567,0.47972456,6,0,0,6,0.350256355619731,0.0588175719490757,0.0903842285366181,-0.143050470826002,-0.0380863249287476,-0.130048464548247,0.0128363744541061,-0.707210246210909,-0.262047606688044,-0.0884312335614286,-0.222460453914142,0.103803995099305,0.408866162545196,0.146374226711419,-0.495797754293595,-0.352495574531071,-0.401736453429642,0.293522900382181
"12",12,"CARIB","FLORIDA","Keys_lower","-81.562_24.562",24.5625,-81.5625,26.522,2.728,8.51919740428749,0.169010742,0.1498795,0.025331246,5.52117372231968,0.00155862350715324,0.1939745416,926.5122832,179.7235376,0.116574329,26.49333,3.088442164,0.382480126,1.069331369,0.412004056,3,2,1,5,0.169158865431179,0.486921973707017,-0.154186371974685,-0.345737858759159,0.689507566038639,-0.166023104282975,0.0107155702212381,-0.7079644836502,-0.282733742578876,-0.0954091408941752,-0.237989099383295,0.947642438450128,0.204547459427187,0.982358199436689,-0.547095970275311,-0.414470666680925,-0.443556403638366,0.807757340352498
"13",13,"CARIB","FLORIDA","Keys_lower","-81.562_24.604",24.60416667,-81.5625,26.43,2.93,0.0205105329802821,0.205982989,0.1852151,0.03815116,5.50946156743793,0.00453559624846093,0.191187883,924.4978957,176.7527951,0.122791083,26.544,3.259366503,0.361056894,0.568820291,0.205376487,1,0,0,1,-0.0444433024835302,0.902677210029634,-1.1265791257641,-0.29772829763871,1.10278769467594,-0.0205511913720514,0.00846692457272609,-0.706007585486054,-0.313762946415122,-0.105876001893295,-0.261282067587023,1.25781730435699,0.301429629434575,1.30901809920448,-0.651346989062991,-0.619523474567128,-0.57115667441204,0.96634357857465
"14",14,"CARIB","FLORIDA","Keys_lower","-81.604_24.521",24.52083333,-81.60416667,26.59,2.55666666666667,10.6497568721506,0.293060638,0.1152937,0.033788045,5.51333668396225,0.00487985943444073,0.194927803666667,906.5515164,176.6435043,0.105556395,26.52053,2.799411545,0.394722330666667,1.291339605,0.511772480333333,8,1,1,9,0.327038728672477,0.134284694053841,0.0895854741280323,-0.18465538346364,0.284996991065414,-0.0700609373266924,0.0092109178000931,-0.705781285800041,-0.272119251454645,-0.199126311265537,-0.262138993803065,0.39792047727543,0.256554466022825,0.429980968758248,-0.487522218345289,-0.32351681137852,-0.381945661077696,0.4490044679062
"15",15,"CARIB","FLORIDA","Keys_lower","-81.604_24.562",24.5625,-81.60416667,26.51,2.74,0.00134789473400509,0.163899077,0.1532005,0.025109421,5.51667369896298,0.00258251248858869,0.191187883,924.4978957,176.7527951,0.118950281,26.48547,3.150454094,0.361056894,0.568820291,0.205376487,1,1,1,2,0.141297713094478,0.511620304577668,-1.12877165395773,-0.35237550762169,0.728349507514218,-0.168540227805135,0.00985159958206709,-0.707291435341676,-0.313762946415122,-0.105876001893295,-0.261282067587023,1.06618671300259,0.189518964138887,1.10087151917056,-0.651346989062991,-0.619523474567128,-0.57115667441204,0.89848791736669
"16",16,"CARIB","FLORIDA","Keys_lower","-81.646_24.479",24.47916667,-81.64583333,26.586,2.536,10.6577100063516,0.2136488,0.05346442,0.011422609,5.52790602008662,0.00497532651294023,0.1835950556,935.10861728,171.62500696,0.092329743,26.61446,2.457306249,0.3995920898,1.2618886184,0.5043045178,10,0,0,10,0.317751677893574,0.0917486797766096,0.0904954464783587,-0.287774014315267,-0.438149433275805,-0.323849126389961,0.01200812075792,-0.705718530992764,-0.398308426470713,-0.0507421471219469,-0.301487977759472,-0.262001889042541,0.436150720784892,-0.223829263039057,-0.463824703847915,-0.335582493363983,-0.386557407932159,0.118543274144337
"17",17,"CARIB","FLORIDA","Keys_lower","-81.646_24.521",24.52083333,-81.64583333,26.56,2.6325,10.6377109356507,0.205624123,0.133038,0.027355822,5.52496346187304,0.00215027026017196,0.1868977565,925.5179447,172.88924095,0.108718123,26.50606,2.881689088,0.37193034625,1.05284218375,0.39899993325,4,0,0,4,0.257385847830731,0.290364423861423,0.0882072163403968,-0.29819429580109,0.492531788453284,-0.143049553637195,0.0114431717123127,-0.707575567611857,-0.361533136007699,-0.100575774853913,-0.291575384483164,0.555669771912787,0.228887503322868,0.587224659778286,-0.598433942385361,-0.421226069076371,-0.451586936989286,0.615960872477691
"18",18,"CARIB","FLORIDA","Keys_lower","-81.646_24.562",24.5625,-81.64583333,26.51,2.74,10.6490746522545,0.156202282,0.1485764,0.023207973,5.53964298918066,0.00165215852903202,0.181393255,941.502399,170.7821843,0.117363982,26.53505,3.114259141,0.313434829,0.339397791,0.106379089,0,1,1,1,0.141297713094478,0.511620304577668,0.0895074166947543,-0.362370024589622,0.674266694633392,-0.190116603267611,0.0142615305485609,-0.707902998870693,-0.422825286779389,-0.0175197286339689,-0.30809637327701,0.987040895166921,0.284317029837844,1.03169799017958,-0.883088343169746,-0.713514856346838,-0.632291279304425,0.847067104070659
"19",19,"CARIB","FLORIDA","Keys_lower","-81.688_24.479",24.47916667,-81.6875,26.5766666666667,2.52,10.6254445762355,0.271201809,0.06218111,0.01686363,5.51530190325347,4.63862670585513e-07,0.185638125666667,926.507721466667,171.963331766667,0.094353002,26.59448,2.509269017,0.398293926333333,1.20128381133333,0.478472793666667,6,0,0,6,0.296081892742813,0.0588175719490757,0.0868037384630055,-0.213039722313722,-0.336200272528812,-0.262108015407586,0.00958822512331276,-0.708988732110868,-0.375559016998618,-0.0954328438950697,-0.298835243985266,-0.161054660147872,0.397948515204714,-0.124521272814581,-0.470141904910432,-0.360411485981048,-0.402509466071913,0.144158862589041
"20",20,"CARIB","FLORIDA","Keys_lower","-81.688_24.521",24.52083333,-81.6875,26.564,2.614,10.6177405990589,0.216105336,0.1288659,0.027848609,5.53382056648507,0.00262743868515827,0.181393255,941.502399,170.7821843,0.110639156,26.49739,2.931648853,0.3460984298,0.7872423258,0.2784450468,2,3,1,5,0.266672898609626,0.252287830435837,0.0859222738679126,-0.284584129339204,0.443735502987984,-0.137457732385693,0.0131436691822767,-0.707261903330728,-0.422825286779389,-0.0175197286339689,-0.30809637327701,0.651516600205761,0.212310269970504,0.68270463602276,-0.724138766342398,-0.530038838744626,-0.526034099236593,0.636874492037959
