"","n_cells_model","n_cells_null","n_cells_oasis","model_null_ratio","lrr","null_percentage","model_percentage"
"65",37,22,129,1.68181818181818,0.519875459285909,17.0542635658915,28.6821705426357
"66",33,19,129,1.73684210526316,0.55206858230004,14.7286821705426,25.5813953488372
"67",45,16,129,2.8125,1.03407376753054,12.4031007751938,34.8837209302326
"68",41,27,129,1.51851851851852,0.417735200699979,20.9302325581395,31.7829457364341
"69",40,20,129,2,0.693147180559945,15.5038759689922,31.0077519379845
"70",38,21,129,1.80952380952381,0.593063722002963,16.2790697674419,29.4573643410853
"71",39,17,129,2.29411764705882,0.83034830207343,13.1782945736434,30.2325581395349
"72",42,14,129,3,1.09861228866811,10.8527131782946,32.5581395348837
"73",41,33,129,1.24242424242424,0.217064505237828,25.5813953488372,31.7829457364341
"74",29,20,129,1.45,0.371563556432483,15.5038759689922,22.4806201550388
"75",37,30,129,1.23333333333333,0.209720530982069,23.2558139534884,28.6821705426357
"76",28,28,129,1,0,21.7054263565891,21.7054263565891
"77",43,19,129,2.26315789473684,0.816761136527122,14.7286821705426,33.3333333333333
"78",43,23,129,1.8695652173913,0.625705899764413,17.8294573643411,33.3333333333333
"79",39,23,129,1.69565217391304,0.528067430200497,17.8294573643411,30.2325581395349
"80",39,19,129,2.05263157894737,0.719122666963206,14.7286821705426,30.2325581395349
"81",38,20,129,1.9,0.641853886172395,15.5038759689922,29.4573643410853
"82",39,18,129,2.16666666666667,0.773189888233482,13.953488372093,30.2325581395349
"83",41,15,129,2.73333333333333,1.0055218656021,11.6279069767442,31.7829457364341
"84",41,23,129,1.78260869565217,0.578077850775158,17.8294573643411,31.7829457364341
"85",40,33,129,1.21212121212121,0.192371892647456,25.5813953488372,31.0077519379845
"86",41,21,129,1.95238095238095,0.669049628980885,16.2790697674419,31.7829457364341
"87",41,28,129,1.46428571428571,0.381367556529104,21.7054263565891,31.7829457364341
"88",33,21,129,1.57142857142857,0.451985123743057,16.2790697674419,25.5813953488372
"89",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"90",43,25,129,1.72,0.542324290825362,19.3798449612403,33.3333333333333
"91",41,26,129,1.57692307692308,0.455475528682826,20.1550387596899,31.7829457364341
"92",38,25,129,1.52,0.418710334858185,19.3798449612403,29.4573643410853
"93",31,16,129,1.9375,0.661398482245365,12.4031007751938,24.031007751938
"94",46,23,129,2,0.693147180559945,17.8294573643411,35.6589147286822
"95",45,22,129,2.04545454545455,0.715620036412004,17.0542635658915,34.8837209302326
"96",47,25,129,1.88,0.631271776841858,19.3798449612403,36.4341085271318
"97",45,15,129,3,1.09861228866811,11.6279069767442,34.8837209302326
"98",45,16,129,2.8125,1.03407376753054,12.4031007751938,34.8837209302326
"99",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"100",32,15,129,2.13333333333333,0.757685701697516,11.6279069767442,24.8062015503876
"101",41,24,129,1.70833333333333,0.535518236356362,18.6046511627907,31.7829457364341
"102",33,20,129,1.65,0.500775287912489,15.5038759689922,25.5813953488372
"103",39,25,129,1.56,0.444685821261446,19.3798449612403,30.2325581395349
"104",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"105",34,28,129,1.21428571428571,0.194156014440957,21.7054263565891,26.3565891472868
"106",37,22,129,1.68181818181818,0.519875459285909,17.0542635658915,28.6821705426357
"107",42,21,129,2,0.693147180559945,16.2790697674419,32.5581395348837
"108",41,17,129,2.41176470588235,0.880358722648092,13.1782945736434,31.7829457364341
"109",37,21,129,1.76190476190476,0.566395474920801,16.2790697674419,28.6821705426357
"110",34,22,129,1.54545454545455,0.435318071257845,17.0542635658915,26.3565891472868
"111",45,19,129,2.36842105263158,0.862223510603879,14.7286821705426,34.8837209302326
"112",35,25,129,1.4,0.336472236621213,19.3798449612403,27.1317829457364
"113",40,21,129,1.9047619047619,0.644357016390513,16.2790697674419,31.0077519379845
"114",34,28,129,1.21428571428571,0.194156014440957,21.7054263565891,26.3565891472868
"115",38,28,129,1.35714285714286,0.305381649551182,21.7054263565891,29.4573643410853
"116",33,25,129,1.32,0.27763173659828,19.3798449612403,25.5813953488372
"117",42,26,129,1.61538461538462,0.479573080261886,20.1550387596899,32.5581395348837
"118",40,25,129,1.6,0.470003629245736,19.3798449612403,31.0077519379845
"119",33,22,129,1.5,0.405465108108164,17.0542635658915,25.5813953488372
"120",46,19,129,2.42105263157895,0.884202417322654,14.7286821705426,35.6589147286822
"121",41,23,129,1.78260869565217,0.578077850775158,17.8294573643411,31.7829457364341
