"","oasis_cells","oasis_cells_sum","scale","oasis_cell_percentage"
"260",21,89,"Cross-basin",23.5955056179775
"261",3,89,"Cross-basin",3.37078651685393
"262",19,89,"Cross-basin",21.3483146067416
"263",12,89,"Cross-basin",13.4831460674157
"264",13,89,"Cross-basin",14.6067415730337
"265",14,89,"Cross-basin",15.7303370786517
"266",7,89,"Cross-basin",7.86516853932584
"267",0,89,"Cross-basin",0
"268",11,89,"Cross-basin",12.3595505617978
"269",9,89,"Cross-basin",10.1123595505618
"270",13,89,"Cross-basin",14.6067415730337
"271",17,89,"Cross-basin",19.1011235955056
"272",34,89,"Cross-basin",38.2022471910112
"273",33,89,"Cross-basin",37.0786516853933
"274",20,89,"Cross-basin",22.4719101123595
"275",32,89,"Cross-basin",35.9550561797753
"276",33,89,"Cross-basin",37.0786516853933
"277",36,89,"Cross-basin",40.4494382022472
"278",22,89,"Cross-basin",24.7191011235955
"279",29,89,"Cross-basin",32.5842696629214
"280",39,89,"Cross-basin",43.8202247191011
"281",28,89,"Cross-basin",31.4606741573034
"282",30,89,"Cross-basin",33.7078651685393
"283",34,89,"Cross-basin",38.2022471910112
"284",35,89,"Cross-basin",39.3258426966292
"285",17,89,"Cross-basin",19.1011235955056
"286",34,89,"Cross-basin",38.2022471910112
"287",17,89,"Cross-basin",19.1011235955056
"288",36,89,"Cross-basin",40.4494382022472
"289",33,89,"Cross-basin",37.0786516853933
"290",32,89,"Cross-basin",35.9550561797753
"291",27,89,"Cross-basin",30.3370786516854
"292",16,89,"Cross-basin",17.9775280898876
"293",38,89,"Cross-basin",42.6966292134831
"294",29,89,"Cross-basin",32.5842696629214
"295",23,89,"Cross-basin",25.8426966292135
"296",31,89,"Cross-basin",34.8314606741573
"297",22,89,"Cross-basin",24.7191011235955
"298",18,89,"Cross-basin",20.2247191011236
"299",35,89,"Cross-basin",39.3258426966292
"300",35,89,"Cross-basin",39.3258426966292
"301",37,89,"Cross-basin",41.5730337078652
"302",21,89,"Cross-basin",23.5955056179775
"303",21,89,"Cross-basin",23.5955056179775
"304",16,89,"Cross-basin",17.9775280898876
"305",19,89,"Cross-basin",21.3483146067416
"306",21,89,"Cross-basin",23.5955056179775
"307",14,89,"Cross-basin",15.7303370786517
"308",35,89,"Cross-basin",39.3258426966292
"309",33,89,"Cross-basin",37.0786516853933
"310",36,89,"Cross-basin",40.4494382022472
"311",22,89,"Cross-basin",24.7191011235955
"312",32,89,"Cross-basin",35.9550561797753
"313",26,89,"Cross-basin",29.2134831460674
"314",12,89,"Cross-basin",13.4831460674157
"315",33,89,"Cross-basin",37.0786516853933
"316",23,89,"Cross-basin",25.8426966292135
"317",32,89,"Cross-basin",35.9550561797753
"318",23,89,"Cross-basin",25.8426966292135
"319",13,89,"Cross-basin",14.6067415730337
"320",21,89,"Cross-basin",23.5955056179775
"321",12,89,"Cross-basin",13.4831460674157
"322",33,89,"Cross-basin",37.0786516853933
"323",14,89,"Cross-basin",15.7303370786517
"324",22,89,"Cross-basin",24.7191011235955
"325",26,89,"Cross-basin",29.2134831460674
"326",17,89,"Cross-basin",19.1011235955056
"327",39,89,"Cross-basin",43.8202247191011
"328",36,89,"Cross-basin",40.4494382022472
"329",30,89,"Cross-basin",33.7078651685393
"330",31,89,"Cross-basin",34.8314606741573
"331",31,89,"Cross-basin",34.8314606741573
"332",29,89,"Cross-basin",32.5842696629214
"333",31,89,"Cross-basin",34.8314606741573
"334",22,89,"Cross-basin",24.7191011235955
"335",23,89,"Cross-basin",25.8426966292135
"336",23,89,"Cross-basin",25.8426966292135
"337",12,89,"Cross-basin",13.4831460674157
"338",25,89,"Cross-basin",28.0898876404494
"339",17,89,"Cross-basin",19.1011235955056
"340",16,89,"Cross-basin",17.9775280898876
"341",16,89,"Cross-basin",17.9775280898876
"342",12,89,"Cross-basin",13.4831460674157
"343",17,89,"Cross-basin",19.1011235955056
"344",30,89,"Cross-basin",33.7078651685393
"345",28,89,"Cross-basin",31.4606741573034
"346",24,89,"Cross-basin",26.9662921348315
"347",28,89,"Cross-basin",31.4606741573034
"348",32,89,"Cross-basin",35.9550561797753
"349",27,89,"Cross-basin",30.3370786516854
"350",31,89,"Cross-basin",34.8314606741573
"351",20,89,"Cross-basin",22.4719101123595
"352",32,89,"Cross-basin",35.9550561797753
"353",31,89,"Cross-basin",34.8314606741573
"354",12,89,"Cross-basin",13.4831460674157
"355",17,89,"Cross-basin",19.1011235955056
"356",29,89,"Cross-basin",32.5842696629214
"357",31,89,"Cross-basin",34.8314606741573
"358",38,89,"Cross-basin",42.6966292134831
"359",21,89,"Cross-basin",23.5955056179775
"360",31,89,"Cross-basin",34.8314606741573
"361",33,89,"Cross-basin",37.0786516853933
"362",38,89,"Cross-basin",42.6966292134831
"363",28,89,"Cross-basin",31.4606741573034
"364",39,89,"Cross-basin",43.8202247191011
"365",20,89,"Cross-basin",22.4719101123595
"366",23,89,"Cross-basin",25.8426966292135
"367",41,89,"Cross-basin",46.0674157303371
"368",32,89,"Cross-basin",35.9550561797753
"369",42,89,"Cross-basin",47.1910112359551
"370",9,89,"Cross-basin",10.1123595505618
"371",17,89,"Cross-basin",19.1011235955056
"372",20,89,"Cross-basin",22.4719101123595
"373",15,89,"Cross-basin",16.8539325842697
"374",25,89,"Cross-basin",28.0898876404494
"375",25,89,"Cross-basin",28.0898876404494
"376",20,89,"Cross-basin",22.4719101123595
"377",16,89,"Cross-basin",17.9775280898876
"378",8,89,"Cross-basin",8.98876404494382
"379",28,89,"Cross-basin",31.4606741573034
"380",36,89,"Cross-basin",40.4494382022472
"381",35,89,"Cross-basin",39.3258426966292
"382",23,89,"Cross-basin",25.8426966292135
"383",31,89,"Cross-basin",34.8314606741573
"384",27,89,"Cross-basin",30.3370786516854
"385",37,89,"Cross-basin",41.5730337078652
"386",40,89,"Cross-basin",44.9438202247191
"387",27,89,"Cross-basin",30.3370786516854
"388",24,89,"Cross-basin",26.9662921348315
"389",30,89,"Cross-basin",33.7078651685393
"390",21,89,"Cross-basin",23.5955056179775
"391",19,89,"Cross-basin",21.3483146067416
"392",36,89,"Cross-basin",40.4494382022472
"393",25,89,"Cross-basin",28.0898876404494
"394",26,89,"Cross-basin",29.2134831460674
"395",28,89,"Cross-basin",31.4606741573034
"396",20,89,"Cross-basin",22.4719101123595
"397",23,89,"Cross-basin",25.8426966292135
"398",34,89,"Cross-basin",38.2022471910112
"399",34,89,"Cross-basin",38.2022471910112
"400",31,89,"Cross-basin",34.8314606741573
"401",25,89,"Cross-basin",28.0898876404494
"402",34,89,"Cross-basin",38.2022471910112
"403",24,89,"Cross-basin",26.9662921348315
"404",11,89,"Cross-basin",12.3595505617978
"405",37,89,"Cross-basin",41.5730337078652
"406",38,89,"Cross-basin",42.6966292134831
"407",33,89,"Cross-basin",37.0786516853933
"408",30,89,"Cross-basin",33.7078651685393
"409",24,89,"Cross-basin",26.9662921348315
"410",32,89,"Cross-basin",35.9550561797753
"411",29,89,"Cross-basin",32.5842696629214
"412",37,89,"Cross-basin",41.5730337078652
"413",25,89,"Cross-basin",28.0898876404494
"414",26,89,"Cross-basin",29.2134831460674
"415",30,89,"Cross-basin",33.7078651685393
"416",39,89,"Cross-basin",43.8202247191011
"417",34,89,"Cross-basin",38.2022471910112
"418",35,89,"Cross-basin",39.3258426966292
"419",19,89,"Cross-basin",21.3483146067416
"420",25,89,"Cross-basin",28.0898876404494
"421",25,89,"Cross-basin",28.0898876404494
"422",31,89,"Cross-basin",34.8314606741573
"423",26,89,"Cross-basin",29.2134831460674
"424",26,89,"Cross-basin",29.2134831460674
"425",37,89,"Cross-basin",41.5730337078652
"426",28,89,"Cross-basin",31.4606741573034
"427",34,89,"Cross-basin",38.2022471910112
"428",36,89,"Cross-basin",40.4494382022472
"429",22,89,"Cross-basin",24.7191011235955
"430",17,89,"Cross-basin",19.1011235955056
"431",21,89,"Cross-basin",23.5955056179775
"432",16,89,"Cross-basin",17.9775280898876
"433",32,89,"Cross-basin",35.9550561797753
"434",35,89,"Cross-basin",39.3258426966292
"435",25,89,"Cross-basin",28.0898876404494
"436",18,89,"Cross-basin",20.2247191011236
"437",24,89,"Cross-basin",26.9662921348315
"438",25,89,"Cross-basin",28.0898876404494
"439",24,89,"Cross-basin",26.9662921348315
"440",30,89,"Cross-basin",33.7078651685393
"441",30,89,"Cross-basin",33.7078651685393
