Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        2172 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
psi[45]        0.295  0.124   0.094   0.281   0.567 1.00 15978
psi[46]        0.087  0.055   0.017   0.075   0.225 1.00  9558
psi[47]        0.049  0.037   0.007   0.039   0.145 1.00  7858
psi[48]        0.032  0.028   0.004   0.024   0.109 1.00  7715
psi[49]        0.303  0.126   0.097   0.290   0.580 1.00 15365
psi[50]        0.056  0.041   0.009   0.046   0.163 1.00  8409
psi[51]        0.174  0.088   0.046   0.160   0.385 1.00 11854
psi[52]        0.034  0.029   0.004   0.025   0.111 1.00  7586
psi[53]        0.066  0.045   0.012   0.055   0.183 1.00  8599
psi[54]        0.415  0.153   0.144   0.407   0.727 1.00 18793
psi[55]        0.029  0.027   0.003   0.021   0.103 1.00  9320
psi[56]        0.227  0.104   0.068   0.213   0.466 1.00 17060
psi[57]        0.041  0.034   0.005   0.031   0.131 1.00 10731
psi[58]        0.072  0.050   0.012   0.059   0.201 1.00 12728
psi[59]        0.352  0.146   0.112   0.338   0.664 1.00 18446
psi[60]        0.031  0.028   0.003   0.023   0.108 1.00  9827
psi[61]        0.232  0.110   0.066   0.216   0.489 1.00 19564
psi[62]        0.398  0.150   0.137   0.389   0.708 1.00 19585
psi[63]        0.064  0.046   0.010   0.052   0.186 1.00 11550
psi[64]        0.112  0.067   0.024   0.098   0.281 1.00 15219
psi[65]        0.262  0.122   0.076   0.244   0.538 1.00 18493
psi[66]        0.299  0.241   0.035   0.220   0.942 1.00  5710
psi[67]        0.216  0.222   0.016   0.134   0.897 1.00  5410
psi[68]        0.290  0.241   0.030   0.209   0.940 1.00  5645
psi[69]        0.735  0.200   0.284   0.774   0.996 1.00  8520
psi[70]        0.339  0.249   0.041   0.266   0.956 1.00  5744
psi[71]        0.435  0.254   0.075   0.386   0.974 1.00  6229
psi[72]        0.161  0.200   0.009   0.084   0.837 1.00  5185
psi[73]        0.279  0.237   0.031   0.199   0.935 1.00  5589
psi[74]        0.544  0.244   0.136   0.527   0.986 1.00  6839
psi[75]        0.314  0.243   0.039   0.238   0.946 1.00  5776
psi[76]        0.646  0.224   0.209   0.661   0.992 1.00  7751
psi[77]        0.167  0.203   0.009   0.089   0.848 1.00  5234
psi[78]        0.189  0.212   0.013   0.109   0.875 1.00  5266
psi[79]        0.427  0.250   0.078   0.376   0.973 1.00  6290
psi[80]        0.691  0.212   0.249   0.717   0.994 1.00  8006
psi[81]        0.778  0.181   0.347   0.820   0.997 1.00  8704
psi[82]        0.168  0.204   0.010   0.090   0.851 1.00  5194
psi[83]        0.516  0.245   0.122   0.491   0.983 1.00  6742
psi[84]        0.398  0.250   0.067   0.340   0.968 1.00  6044
psi[85]        0.678  0.213   0.241   0.701   0.993 1.00  7973
psi[86]        0.741  0.194   0.306   0.776   0.996 1.00  8298
