"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"71",71,"psi",0.385613948194856,0.0746692658163153,0.974250190504094,0.95,"median","qi","-80.104_25.646"
"72",72,"psi",0.0841464881961472,0.00887760856575466,0.837431508783111,0.95,"median","qi","-80.146_25.312"
"73",73,"psi",0.198556116484945,0.0306150254448718,0.935083753737825,0.95,"median","qi","-80.146_25.354"
"74",74,"psi",0.52687244679503,0.13586868445031,0.986126700007893,0.95,"median","qi","-80.146_25.396"
"75",75,"psi",0.237775229317265,0.0389236785985477,0.946469546548624,0.95,"median","qi","-80.146_25.438"
"76",76,"psi",0.661383482308989,0.208831033187348,0.992102630334264,0.95,"median","qi","-80.146_25.479"
"77",77,"psi",0.0887556718025634,0.00938017959673017,0.84751034154977,0.95,"median","qi","-80.188_25.229"
"78",78,"psi",0.108745654177998,0.0126831028235594,0.87460561556909,0.95,"median","qi","-80.188_25.271"
"79",79,"psi",0.376474219008291,0.0780776284205944,0.972777157833159,0.95,"median","qi","-80.188_25.312"
"80",80,"psi",0.717213514255686,0.249073446452201,0.994256992260755,0.95,"median","qi","-80.188_25.354"
"81",81,"psi",0.819628160924296,0.347440771129065,0.996947429728563,0.95,"median","qi","-80.188_25.396"
"82",82,"psi",0.0899745154329417,0.00982298823132849,0.850920451096796,0.95,"median","qi","-80.229_25.146"
"83",83,"psi",0.490652420996476,0.121944731445252,0.983122387399117,0.95,"median","qi","-80.229_25.188"
"84",84,"psi",0.340117392077895,0.0667580658775185,0.968030879864923,0.95,"median","qi","-80.229_25.229"
"85",85,"psi",0.700577446351164,0.240714218805661,0.99318440141047,0.95,"median","qi","-80.229_25.271"
"86",86,"psi",0.776057924779463,0.306103129101797,0.995815006185057,0.95,"median","qi","-80.229_25.312"
"87",87,"psi",0.0995497716682631,0.0111986939221849,0.864822497971267,0.95,"median","qi","-80.271_25.104"
"88",88,"psi",0.30959053318843,0.0566541588857228,0.963445900542777,0.95,"median","qi","-80.271_25.146"
"89",89,"psi",0.516280156021964,0.131339265505549,0.984472820120203,0.95,"median","qi","-80.271_25.188"
"90",90,"psi",0.788269898722462,0.320926110888983,0.996183316483616,0.95,"median","qi","-80.271_25.229"
"91",91,"psi",0.206256184752067,0.0187352435829258,0.946422634784171,0.95,"median","qi","-80.312_25.062"
"92",92,"psi",0.471238902722245,0.112303955258409,0.981619374930483,0.95,"median","qi","-80.312_25.104"
"93",93,"psi",0.748995604349606,0.278139543552477,0.995287676532328,0.95,"median","qi","-80.312_25.146"
"94",94,"psi",0.858087562407923,0.401021127204774,0.997838201363629,0.95,"median","qi","-80.312_25.188"
"95",95,"psi",0.110382761811168,0.0123182350241621,0.878998189442327,0.95,"median","qi","-80.354_25.021"
"96",96,"psi",0.761296767686351,0.249226649673663,0.995574588542446,0.95,"median","qi","-80.354_25.062"
"97",97,"psi",0.917510927509933,0.513438020435171,0.998935418141737,0.95,"median","qi","-80.354_25.146"
"98",98,"psi",0.172578316370715,0.0217168195277972,0.926093136872028,0.95,"median","qi","-80.396_24.979"
"99",99,"psi",0.330908430814337,0.0596418597889313,0.966642879121449,0.95,"median","qi","-80.396_25.021"
"100",100,"psi",0.800428883560929,0.327056942313113,0.996683686876265,0.95,"median","qi","-80.396_25.062"
"101",101,"psi",0.176002550011291,0.0221428233396118,0.928504285485681,0.95,"median","qi","-80.438_24.979"
"102",102,"psi",0.817460600166184,0.348066272507287,0.996669321668671,0.95,"median","qi","-80.438_25.021"
"103",103,"psi",0.664863411416864,0.196943075957754,0.992362844580588,0.95,"median","qi","-80.479_24.979"
"104",104,"psi",0.0132594636957326,9.02307596965505e-05,0.588819533961585,0.95,"median","qi","-80.021_26.479"
"105",105,"psi",0.0167676366667353,0.000121202893610826,0.624674458149575,0.95,"median","qi","-80.021_26.521"
"106",106,"psi",0.0193410988726473,0.000143487888207864,0.650112711297903,0.95,"median","qi","-80.021_26.562"
"107",107,"psi",0.0211423129392068,0.000153097109736739,0.698983080268149,0.95,"median","qi","-80.021_26.604"
"108",108,"psi",0.0285416770671885,0.000224174181462394,0.757659995851189,0.95,"median","qi","-80.021_26.688"
"109",109,"psi",0.0393351949930032,0.000310835783455159,0.802225858161474,0.95,"median","qi","-80.021_26.729"
"110",110,"psi",0.0488816310616017,0.000397474568394065,0.834936217285911,0.95,"median","qi","-80.021_26.771"
"111",111,"psi",0.0527485594916305,0.000417720285111305,0.835615391443349,0.95,"median","qi","-80.021_26.812"
