"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"435",435,"psi",0.448193223343332,0.231292530791553,0.747723269428162,0.5,"median","qi","144.979_13.604"
"436",436,"psi",0.518516678986771,0.294354230611979,0.771520394413804,0.5,"median","qi","145.521_14.812"
"437",437,"psi",0.522808433419586,0.294773326955878,0.774071073942961,0.5,"median","qi","145.521_14.854"
"438",438,"psi",0.464108225070129,0.249998362620483,0.72989927919531,0.5,"median","qi","145.562_14.854"
"439",439,"psi",0.402433274528282,0.204844782035119,0.690393571724429,0.5,"median","qi","145.604_14.979"
"440",440,"psi",0.359836098638652,0.17491669077968,0.642745421246233,0.5,"median","qi","145.604_15.021"
"441",441,"psi",0.447082353690192,0.237798368519953,0.729241393008623,0.5,"median","qi","145.604_15.062"
"442",442,"psi",0.440396183072902,0.236674860158287,0.718233625578405,0.5,"median","qi","145.646_14.938"
"443",443,"psi",0.34035181221091,0.164738607757036,0.624187502919165,0.5,"median","qi","145.646_15.021"
"444",444,"psi",0.354705345638402,0.171830807590205,0.649409377450458,0.5,"median","qi","145.646_15.062"
"445",445,"psi",0.415197903183366,0.213243470330409,0.703121067619151,0.5,"median","qi","145.688_14.979"
"446",446,"psi",0.349831252826143,0.171247977562541,0.642408353713207,0.5,"median","qi","145.688_15.021"
"447",447,"psi",0.42962714989153,0.220397056341981,0.716038313372266,0.5,"median","qi","145.688_15.104"
"448",448,"psi",0.509558616825587,0.258625296123001,0.788184956462294,0.5,"median","qi","145.688_15.146"
"449",449,"psi",0.615388796391523,0.339020669193972,0.858220142816839,0.5,"median","qi","145.688_15.188"
"450",450,"psi",0.860849625815383,0.661966007549018,0.959705937989592,0.5,"median","qi","145.688_15.229"
"451",451,"psi",0.421329083290799,0.215334750054268,0.705699425250354,0.5,"median","qi","145.729_15.104"
"452",452,"psi",0.510832275425469,0.280825288052138,0.782766176443179,0.5,"median","qi","145.729_15.146"
"453",453,"psi",0.903379754561271,0.683725587817132,0.979970557736101,0.5,"median","qi","145.729_15.271"
"454",454,"psi",0.517198434116172,0.282398077449611,0.782080439458458,0.5,"median","qi","145.771_15.146"
"455",455,"psi",0.581028987671291,0.341723995664682,0.821292843538922,0.5,"median","qi","145.771_15.188"
"456",456,"psi",0.74233346155179,0.502249608832964,0.910430591836851,0.5,"median","qi","145.771_15.229"
"457",457,"psi",0.834949191799179,0.607305150635243,0.951699760145466,0.5,"median","qi","145.771_15.271"
"458",458,"psi",0.609748144858763,0.35763101814375,0.842191028224903,0.5,"median","qi","145.812_15.229"
"459",459,"psi",0.571057645563159,0.334377546792356,0.814724154673786,0.5,"median","qi","145.812_15.271"
"460",460,"psi",0.496604044786362,0.226956849868627,0.817229726605182,0.5,"median","qi","145.688_18.062"
"461",461,"psi",0.454715485446213,0.20000664155327,0.792571036119592,0.5,"median","qi","145.729_18.062"
"462",462,"psi",0.438299311199423,0.19251358617824,0.778034528581777,0.5,"median","qi","145.729_18.104"
"463",463,"psi",0.182421648511762,0.0496576938515468,0.549345731221681,0.5,"median","qi","145.771_16.688"
"464",464,"psi",0.208197255651731,0.0625400395880402,0.567467877862275,0.5,"median","qi","145.771_16.729"
"465",465,"psi",0.471756714649134,0.201377897968312,0.804480939341568,0.5,"median","qi","145.771_18.062"
"466",466,"psi",0.465919990914842,0.208449530639164,0.799065059065993,0.5,"median","qi","145.771_18.104"
"467",467,"psi",0.437346590063221,0.188790563343104,0.780516391291639,0.5,"median","qi","145.771_18.146"
"468",468,"psi",0.480687670213927,0.220128529600891,0.804385382268559,0.5,"median","qi","145.771_18.188"
"469",469,"psi",0.418778396168309,0.175782928788858,0.760656879966067,0.5,"median","qi","145.812_17.312"
"470",470,"psi",0.351530958262754,0.132441705913299,0.710888504744182,0.5,"median","qi","145.812_17.562"
"471",471,"psi",0.345557368998009,0.134738016017791,0.699331079155225,0.5,"median","qi","145.812_17.604"
"472",472,"psi",0.478253668234827,0.212406342202215,0.813252441038139,0.5,"median","qi","145.812_18.104"
"473",473,"psi",0.505249789631645,0.233199022004793,0.822834445188918,0.5,"median","qi","145.812_18.146"
"474",474,"psi",0.5010635509443,0.234131590815654,0.817097861983494,0.5,"median","qi","145.812_18.188"
"475",475,"psi",0.400723211528434,0.162431478866292,0.73771341018191,0.5,"median","qi","145.854_17.312"
"476",476,"psi",0.301212943542206,0.11138886332526,0.65840406095517,0.5,"median","qi","145.854_17.562"
"477",477,"psi",0.255597910001514,0.0901810780304223,0.60647622233878,0.5,"median","qi","145.854_17.604"
"478",478,"psi",0.71647447883835,0.471262588019054,0.895823143970723,0.5,"median","qi","144.896_20.521"
"479",479,"psi",0.729912177537388,0.494105186207237,0.901390301403711,0.5,"median","qi","144.896_20.562"
"480",480,"psi",0.835965047347906,0.673399613390393,0.940025812954646,0.5,"median","qi","145.188_20.021"
"481",481,"psi",0.733711637694437,0.525741319113915,0.893944004852075,0.5,"median","qi","145.229_20.021"
"482",482,"psi",0.780439860043793,0.57884781038448,0.916322169429235,0.5,"median","qi","145.396_19.688"
"483",483,"psi",0.790583017648617,0.589255705137787,0.922174457437432,0.5,"median","qi","145.438_19.688"
"484",484,"psi",0.119731221445676,0.0329963790283651,0.325581729639284,0.5,"median","qi","145.146_14.104"
"485",485,"psi",0.0929999219119746,0.024763658779208,0.26409377623059,0.5,"median","qi","145.146_14.146"
"486",486,"psi",0.0758595498188137,0.0199715751035535,0.228347028547725,0.5,"median","qi","145.188_14.104"
"487",487,"psi",0.0678203085025836,0.0175241443157219,0.206931220314806,0.5,"median","qi","145.188_14.146"
"488",488,"psi",0.0740107902460196,0.0192647170369466,0.221572373985989,0.5,"median","qi","145.188_14.188"
"489",489,"psi",0.0661914168825828,0.0171550349095196,0.203778284055979,0.5,"median","qi","145.229_14.104"
"490",490,"psi",0.0709774299213817,0.0184683907903652,0.213148531446389,0.5,"median","qi","145.229_14.188"
"491",491,"psi",0.0589593199240188,0.0148556707502208,0.189164706408437,0.5,"median","qi","145.271_14.188"
"492",492,"psi",0.301003930810605,0.162464176933384,0.503613264780678,0.5,"median","qi","-154.812_19.479"
"493",493,"psi",0.265357295527497,0.135528752752562,0.470493813480503,0.5,"median","qi","-154.812_19.521"
"494",494,"psi",0.128204935762277,0.0698344109994076,0.236796018148807,0.5,"median","qi","-154.854_19.438"
"495",495,"psi",0.14622185934203,0.068531471191861,0.308294266794228,0.5,"median","qi","-154.854_19.562"
"496",496,"psi",0.0522997537444255,0.0240831905432729,0.114189347182964,0.5,"median","qi","-154.896_19.396"
"497",497,"psi",0.0737675714613205,0.0374773923172343,0.147629367841381,0.5,"median","qi","-154.896_19.438"
"498",498,"psi",0.0459716045549109,0.0202877825939873,0.105294236100845,0.5,"median","qi","-154.938_19.354"
"499",499,"psi",0.101647340092643,0.0496356142975483,0.208841656100162,0.5,"median","qi","-154.938_19.396"
"500",500,"psi",0.20603687971949,0.0931359364626305,0.415936071797593,0.5,"median","qi","-154.938_19.604"
"501",501,"psi",0.256333401563417,0.129973768916738,0.46637132871499,0.5,"median","qi","-154.979_19.646"
"502",502,"psi",0.646632044802717,0.392999427730256,0.85807003212653,0.5,"median","qi","-155.021_19.729"
"503",503,"psi",0.651379464256059,0.380118313132476,0.869029226851803,0.5,"median","qi","-155.062_19.729"
"504",504,"psi",0.429801989312366,0.214446238890958,0.715479514145723,0.5,"median","qi","-155.104_19.896"
"505",505,"psi",0.117125170293775,0.0576932781621306,0.232702351885759,0.5,"median","qi","-155.146_19.938"
"506",506,"psi",0.277961655766906,0.141090967022344,0.513358568581785,0.5,"median","qi","-155.188_19.938"
"507",507,"psi",0.133015090638231,0.0675309445838173,0.272756797515714,0.5,"median","qi","-155.188_19.979"
"508",508,"psi",0.258965983577506,0.103974426969343,0.548081939649252,0.5,"median","qi","-155.229_19.979"
"509",509,"psi",0.060192290795577,0.0292075822644129,0.127526232138738,0.5,"median","qi","-155.271_20.021"
"510",510,"psi",0.0702036753011711,0.0335362541738998,0.156503487320145,0.5,"median","qi","-155.312_20.021"
"511",511,"psi",0.0734214860599462,0.035572210032036,0.163588337527414,0.5,"median","qi","-155.354_20.062"
"512",512,"psi",0.0525237047230839,0.0228476756846496,0.117897033894631,0.5,"median","qi","-155.396_20.062"
"513",513,"psi",0.0417219693194977,0.0186750110292943,0.0952308773757193,0.5,"median","qi","-155.438_20.104"
"514",514,"psi",0.0563612116830181,0.0258098360101717,0.123380011158422,0.5,"median","qi","-155.479_20.104"
"515",515,"psi",0.0210632392069064,0.0103167532085861,0.0460777286386463,0.5,"median","qi","-155.521_19.104"
"516",516,"psi",0.0198095045511569,0.00950758590982862,0.0444318900907474,0.5,"median","qi","-155.521_19.146"
"517",517,"psi",0.0726459184636751,0.0338555409145562,0.155313430773172,0.5,"median","qi","-155.521_20.104"
"518",518,"psi",0.0454271491859482,0.0230716044786211,0.0940046521022804,0.5,"median","qi","-155.562_19.021"
"519",519,"psi",0.0417634086651238,0.0210273834211636,0.0865897123988066,0.5,"median","qi","-155.562_19.062"
"520",520,"psi",0.0657577042875642,0.0307243060639942,0.15023844472315,0.5,"median","qi","-155.562_20.146"
"521",521,"psi",0.0786379871587655,0.0385479414558525,0.164062302447403,0.5,"median","qi","-155.688_18.938"
"522",522,"psi",0.0586321880116252,0.0272322748915849,0.12593719581997,0.5,"median","qi","-155.729_20.188"
"523",523,"psi",0.0578695810599669,0.0272263318367689,0.124334861147751,0.5,"median","qi","-155.729_20.229"
"524",524,"psi",0.137665787042514,0.0725535379525227,0.266007340657581,0.5,"median","qi","-155.771_18.979"
"525",525,"psi",0.0514064563073453,0.0222686689717635,0.117971512058546,0.5,"median","qi","-155.771_20.229"
"526",526,"psi",0.23325107146799,0.117891390938106,0.443276492738889,0.5,"median","qi","-155.812_19.021"
"527",527,"psi",0.645333829664679,0.479817509433783,0.804367599472548,0.5,"median","qi","-155.812_19.979"
"528",528,"psi",0.235839381673463,0.102932143308147,0.463580327323237,0.5,"median","qi","-155.812_20.021"
